CountryCode,CountryName,PPP_Value,Factor,RawPrice,FinalPrice_USD
SVK,Slovak Republic,0.501903,0.501903,7.001418,7.99
SVN,Slovenia,0.550461,0.550461,7.292766,7.99
SLB,Solomon Islands,6.11160632540053,1.0,9.99,9.99
SOM,"Somalia, Fed. Rep.",11049.7242096074,1.0,9.99,9.99
ZAF,South Africa,7.43191283878561,1.0,9.99,9.99
ESP,Spain,0.562107,0.562107,7.362642,7.99
LKA,Sri Lanka,87.2686054398767,1.0,9.99,9.99
KNA,St. Kitts and Nevis,1.85652998326696,1.0,9.99,9.99
LCA,St. Lucia,1.38897762585527,1.0,9.99,9.99
VCT,St. Vincent and the Grenadines,1.45981547183907,1.0,9.99,9.99
SDN,Sudan,729.476687377877,1.0,9.99,9.99
SUR,Suriname,10.5958917756902,1.0,9.99,9.99
SWE,Sweden,8.490485,1.0,9.99,9.99
CHE,Switzerland,0.972889,0.972889,9.827334,9.99
TJK,Tajikistan,2.67931126140168,1.0,9.99,9.99
TZA,Tanzania,730.424331119855,1.0,9.99,9.99
THA,Thailand,10.4923732985879,1.0,9.99,9.99
TLS,Timor-Leste,0.301161456791842,0.301161456791842,5.796968740751052,5.99
TGO,Togo,201.675895153365,1.0,9.99,9.99
TTO,Trinidad and Tobago,3.48081488254357,1.0,9.99,9.99
TUN,Tunisia,0.896141941458351,0.896141941458351,9.366851648750107,9.99
TUR,Turkiye,11.554529,1.0,9.99,9.99
TKM,Turkmenistan,1.5118910193265,1.0,9.99,9.99
TCA,Turks and Caicos Islands,0.988206691271252,0.988206691271252,9.919240147627512,9.99
TUV,Tuvalu,1.57916853769056,1.0,9.99,9.99
UGA,Uganda,1244.29989240795,1.0,9.99,9.99
UKR,Ukraine,11.6654001366924,1.0,9.99,9.99
ARE,United Arab Emirates,2.33033434270159,1.0,9.99,9.99
GBR,United Kingdom,0.664153,0.664153,7.974918000000001,7.99
USA,United States,1.0,1.0,9.99,9.99
URY,Uruguay,26.3976838152141,1.0,9.99,9.99
UZB,Uzbekistan,3367.64393969072,1.0,9.99,9.99
VUT,Vanuatu,112.727226133825,1.0,9.99,9.99
VNM,Viet Nam,6956.92750425086,1.0,9.99,9.99
PSE,West Bank and Gaza,0.593054191376851,0.593054191376851,7.548325148261107,7.99
ZMB,Zambia,7.3696780609959,1.0,9.99,9.99
ZWE,Zimbabwe,8.34539184866139,1.0,9.99,9.99
